start,end,character,arousal,valence,direction,emotion,oncue,offcue
4196.0,4213.0,DAN,HIGH,NEG,OTHER,CONTEMPT,AUDIO FACE VERBAL,SCENEEND
4219.0,4225.0,DAN,LOW,NEG,SELF,ANGERRAGE,VERBAL,EMOFADED
4247.0,4269.0,DAN,HIGH,NEG,OTHER,GLOATING,AUDIO,EMOFADED
4282.0,4285.0,DAN,LOW,POS,OTHER,HAPPINESS,AUDIO,EMOFADED
4301.0,4307.0,WOMAN,LOW,POS,SELF,HOPE,VERBAL,CHARLEFT
4305.0,4310.0,FORREST,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
4310.0,4313.0,FORRESTVO,LOW,POS,OTHER,LOVE,AUDIO,CHARLEFT
4313.0,4336.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,CONTEXT GESTURE FACE,CHARLEFT
4343.0,4374.0,CROWD,HIGH,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
4357.0,4374.0,DAN,HIGH,NEG,SELF,SADNESS,FACE,SCENEEND
4359.0,4374.0,FORREST,LOW,POS,OTHER,COMPASSION,FACE,SCENEEND
4401.0,4404.0,PRESIDENTNIXON,LOW,POS,OTHER,HAPPINESS,FACE,EMOFADED
4422.0,4424.0,FORREST,LOW,POS,OTHER,GRATITUDE,VERBAL,CHARLEFT
4476.0,4488.0,FORREST,HIGH,POS,OTHER,RELIEF,GESTURE,SCENEEND
4488.0,4514.0,MRSGUMP,HIGH,POS,OTHER,HAPPINESS,FACE,EMOCHANGE
4518.0,4528.0,MRSGUMP,LOW,POS,OTHER,HOPE,FACE,EMOCHANGE
4528.0,4532.0,WOMAN,LOW,POS,OTHER,HAPPINESS,FACE,CHARLEFT
